,Sentence1,Sentence2,Sentence1_embedding,Sentence2_embedding
508,He sings beautifully,He sang beautifully,"[-1.3137041   6.972103   -0.44093624 ... -3.0611343  -2.8690503
  1.7447162 ]",[-1.5039514  5.538105  -0.7642409 ... -2.9745789 -1.4301558  1.3464137]
509,She dances gracefully,She danced gracefully,"[-0.17284423  0.7940995  -0.9245782  ...  0.49109817 -2.0405538
  4.8927236 ]","[ 0.162372   -0.55717254 -1.3846273  ... -0.29066902 -0.60661733
  4.73151   ]"
510,They play joyfully,They played joyfully,"[-0.70203006  1.859306   -0.282624   ... -3.8968847  -1.2946105
  4.0775933 ]","[-0.47959244  2.1390436   0.07177421 ... -4.7071605   0.11553693
  3.5678701 ]"
511,We work diligently,We worked diligently,"[-1.1019067   1.2789025   1.7266022  ...  0.49811402 -3.935467
  3.416557  ]","[-1.9323086  -0.29104605  0.60164165 ... -1.2818234  -3.190278
  3.142773  ]"
512,I study attentively,I studied attentively,[-1.1708746  1.7529101  2.6602547 ... -2.113958  -1.746569   3.224944 ],[-2.0742316  1.8396878  1.7574695 ... -2.3178427 -1.733341   3.1082833]
513,You learn quickly,You learned quickly,"[-0.29832378  3.063304    1.0008646  ... -0.3125837   0.745828
  4.2175565 ]","[-1.5216765   1.9887409  -0.19749956 ... -1.7509674   0.43586627
  4.292311  ]"
514,It grows steadily,It grew steadily,"[ 2.2765052   1.8784348   1.2647163  ... -0.24016814 -0.6073261
  1.577147  ]","[ 1.953918    1.3961033   1.0493804  ... -0.38404188 -0.25197968
  1.8016095 ]"
515,He improves constantly,He improved constantly,"[ 1.4895741   5.7031      0.35128272 ... -0.5518415   0.73313636
  3.6133568 ]","[ 1.4908441   5.4591603  -0.34537074 ... -0.9326311   1.1865062
  3.1666744 ]"
516,She progresses rapidly,She progressed rapidly,[ 2.8732977  3.2859085  1.8775474 ... -0.7790699 -1.0642966  2.8930438],"[ 2.94611     3.3503034   1.8788972  ... -0.49644196 -1.2751949
  2.3308055 ]"
517,They succeed eventually,They succeeded eventually,"[ 2.3824084   6.6462007  -0.996907   ... -0.1545151  -0.20623986
  4.752195  ]","[ 2.4214094   7.1451316  -1.3294077  ... -0.45464584 -0.4260409
  4.3933043 ]"
518,We fail occasionally,We failed occasionally,[ 1.0406294  5.3927402 -0.2105435 ... -0.8277599 -1.2137837  1.7418681],"[ 0.7500331   4.7436895  -0.4811946  ... -0.83464384 -0.12945344
  1.9880477 ]"
519,I try repeatedly,I tried repeatedly,"[ 0.6097819   2.2563066   0.31515178 ... -0.46388495  0.33900782
  4.8231273 ]","[ 0.06631342  2.1047437   0.29203546 ... -0.363627    0.4473586
  3.6647646 ]"
520,You achieve greatness,You achieved greatness,"[-1.0827674   6.345747   -0.26499715 ... -0.11414703  1.1842963
  2.9698408 ]",[-0.4449432  6.36268   -1.1230115 ... -1.3626846  1.7495266  3.770573 ]
521,It happens naturally,It happened naturally,"[-0.6546591  -0.22762638  2.2679899  ...  0.51833177 -2.697457
  2.60971   ]","[ 1.0195447  -0.03207715  0.8617355  ... -0.95624655 -2.5718603
  2.478708  ]"
522,He acts spontaneously,He acted spontaneously,"[ 1.931512    6.0846305  -0.08675907 ... -0.87709266 -1.6002146
  1.4270903 ]","[ 2.1583767   6.5813866  -0.64525443 ... -1.4644108  -0.52978295
  1.2225915 ]"
523,She reacts quickly,She reacted quickly,"[ 1.5394386   7.169515    1.0669631  ...  0.26203966 -1.3065931
  3.4312184 ]","[ 0.7263052   6.621919    0.25845465 ... -0.8545715  -0.77189755
  3.596239  ]"
524,They respond immediately,They responded immediately,"[ 1.3981085   7.4963326   1.0593249  ...  0.06331557 -2.0796103
  2.0921466 ]","[ 1.0466137   7.8019023   0.18493183 ... -1.0045207  -1.7230787
  2.4802597 ]"
525,We communicate effectively,We communicated effectively,"[-0.46894208  6.3198085   0.52192867 ... -0.602441   -4.0632796
  3.0871398 ]","[ 0.36372066  4.045217    0.14712827 ... -2.387      -4.1895704
  2.5274985 ]"
526,I cooperate willingly,I cooperated willingly,[ 3.1454742  4.7659264  1.2227585 ... -1.2511824 -0.6395301  1.3366455],[ 2.050847   2.4978416  1.1309179 ... -2.0155542 -0.0674119  1.2851931]
527,You compete fiercely,You competed fiercely,"[ 0.01300919  4.1451697   1.1915932  ... -1.3926544  -1.7382532
  3.9239223 ]","[-0.40213588  3.8281424   0.41534153 ... -2.2146971  -2.4984004
  3.6426876 ]"
528,It originates locally,It originated locally,"[-1.3090135   1.3223519  -0.10509125 ... -1.2769854  -1.7520347
  2.5157475 ]","[-1.1612911   0.05235672  0.22401278 ... -1.7016884  -2.4792202
  2.791217  ]"
529,He develops gradually,He developed gradually,"[ 1.7221154   5.370228    1.4555231  ... -0.72034115  0.37020695
  1.4124836 ]","[ 1.0016547   5.4521217   0.62929875 ... -0.9657813   1.0800151
  0.8091426 ]"
530,She expands significantly,She expanded significantly,"[ 1.0700444   2.6035569   1.8255354  ... -0.06170877 -1.1502794
  1.5154047 ]","[ 0.2149911   0.9738841   1.7096313  ... -0.39223745 -1.1478096
  2.0694013 ]"
531,They contract slightly,They contracted slightly,"[ 1.4482564   3.974266    0.18848634 ...  0.4241096  -2.267411
  1.5794221 ]","[-0.83769447  3.9868824  -0.03113172 ...  0.15335803 -0.32362446
  1.3781387 ]"
532,We intensify gradually,We intensified gradually,"[ 0.94011843  4.136874    0.6467204  ...  0.6508181  -2.098054
  0.9627104 ]","[ 0.7610104   3.505222   -0.10873852 ... -0.00974868 -0.85082394
  1.4359428 ]"
533,I diminish slowly,I diminished slowly,"[ 0.7682496   3.3544786   0.52049077 ... -0.10926676  0.56824076
  1.1709795 ]","[ 0.14016633  3.1976202  -0.19376542 ... -0.44171295  1.7095
  0.7761838 ]"
534,You increase steadily,You increased steadily,"[-0.8098996   6.457128    0.14598617 ...  0.43032804 -0.01571109
  2.5638704 ]","[-0.09674796  5.753189    0.49162018 ... -0.18071507  0.58195573
  2.385045  ]"
535,It decreases rapidly,It decreased rapidly,"[-0.2692445   6.833917    0.9125595  ...  0.10969692  0.39320347
  1.9850334 ]","[ 0.9254628   3.7538793   0.7983427  ... -0.5975816   0.93168974
  2.8387845 ]"
536,He accelerates quickly,He accelerated quickly,"[ 0.2941007   6.364704    0.18033044 ... -1.6662261   0.15139753
  2.7912838 ]","[-0.8175886   5.3937416  -0.59333134 ... -1.5671812   1.171962
  2.0151427 ]"
537,She decelerates smoothly,She decelerated smoothly,[ 2.0018249  4.030223  -0.1108803 ... -2.77113   -1.6750848  1.9222419],"[ 1.8769954   3.660492   -0.31522617 ... -2.6017234  -1.461573
  1.7519712 ]"
538,They fluctuate wildly,They fluctuated wildly,"[ 1.1259856   1.0810748  -1.8399637  ...  0.10925588 -3.478892
  4.1448236 ]","[ 0.78312933 -0.23514265 -1.9672601  ... -0.9219271  -2.4768307
  3.9969454 ]"
539,We oscillate regularly,We oscillated regularly,"[ 0.10114339  0.20203829  0.5020868  ... -0.17698628 -0.94519967
  3.416098  ]","[ 0.3239458  -0.9668603   0.8424993  ... -0.34672707 -0.65410614
  2.4783082 ]"
540,I vibrate constantly,I vibrated constantly,"[ 0.12182748  3.671649    2.40949    ... -0.45899683 -0.41892415
  3.1163692 ]","[ 1.7081442   2.8601296   1.0484748  ... -2.199843    0.41787922
  2.0459456 ]"
541,You resonate deeply,You resonated deeply,"[-0.22785258  5.4190598   1.2265906  ...  0.34215656 -4.725162
  1.2205238 ]","[-1.1112552   2.700173   -0.6618252  ... -0.33050728 -2.8373344
  1.4283079 ]"
542,It amplifies significantly,It amplified significantly,"[ 1.1211324   6.0018144   0.4593014  ...  1.0576601   0.57825744
 -0.50177205]","[ 0.41248322  3.704507    0.31745288 ... -0.02354811 -0.19935197
  0.45328617]"
543,He attenuates gradually,He attenuated gradually,[1.4572036  6.43724    2.0004113  ... 0.13212287 0.62147486 1.947498  ],"[ 1.5518934   5.2402263   1.4259028  ... -0.15187801  0.9375071
  1.8337845 ]"
544,She intensifies remarkably,She intensified remarkably,"[ 0.46065614  3.9013693   1.6460383  ...  0.6331539  -2.2054842
  1.5676503 ]","[ 0.45467737  3.5578744   1.1000233  ... -0.28944278 -1.9263462
  2.352324  ]"
545,They weaken considerably,They weakened considerably,[ 3.2515888  6.750809   1.0468811 ... -0.2027173 -1.9747177  2.3900676],"[ 2.030326    5.20762     0.66405123 ... -1.1924158  -0.11453703
  2.504202  ]"
546,We strengthen significantly,He strengthened significantly,"[ 0.10311266  5.798819    0.96816653 ... -0.1618044  -0.2993477
  0.3063396 ]","[ 0.69595677  6.487612    1.0360988  ... -0.67555505  1.6521114
  1.9170164 ]"
547,I simplify considerably,I simplified considerably,"[ 1.5953064   0.7795043  -0.00976014 ...  0.28299809 -2.1181343
  2.1797044 ]","[-0.71280384 -0.84557086 -0.1092033  ... -0.6538668  -1.3077378
  1.5818672 ]"
548,You complicate unnecessarily,You complicated unnecessarily,[ 0.6195954  3.9020088  1.3493364 ... -0.8299621 -0.2835549  2.929792 ],"[ 1.3686465   3.6890938   0.5946966  ... -1.0427394  -0.05675499
  3.658022  ]"
549,It clarifies perfectly,It clarified perfectly,"[ 2.538261    1.8968395   0.8365989  ... -0.37908855  0.09447297
  1.3549784 ]","[-0.01252925  1.4514756   0.6300556  ... -1.0308256   0.12317955
  1.4178848 ]"
550,He obfuscates deliberately,He obfuscated deliberately,"[ 0.9534427   4.873441    3.390779   ... -0.63205636 -1.2866174
  1.6781616 ]","[ 0.05339831  4.190216    2.9491065  ... -1.3554667  -0.30945957
  1.4500648 ]"
551,She organizes meticulously,She organized meticulously,[ 1.9601936  1.8460001  2.052026  ...  0.4626741 -1.4260771  1.9808927],"[ 0.8486476   1.0682362   2.064877   ... -0.4958191   0.20098305
  2.6420949 ]"
552,They disorganize carelessly,They disorganized carelessly,"[ 1.5551172   3.6374986   0.766861   ... -0.64218515  0.09919723
  2.711153  ]","[ 1.9976009   2.0948665   1.1411989  ... -0.7958981   0.91255915
  2.8419616 ]"
553,We streamline efficiently,We streamlined efficiently,"[-0.22796957  5.4476047   0.6427829  ... -0.07174981 -0.007693
  1.9877429 ]","[-0.4873309   3.176903    0.26866087 ... -1.0670484   0.18130536
  1.4310848 ]"
554,I optimize effectively,I optimized effectively,"[-1.0011566   5.440586   -0.03023619 ... -0.9131139   0.7112198
  2.6530435 ]","[-1.1468922   4.2409024  -0.17267187 ... -2.18004     1.160644
  1.9670151 ]"
555,You harmonize beautifully,You harmonized beautifully,"[ 0.17367885  2.6544316   0.8561543  ... -0.39667314 -0.7586726
  2.4959059 ]","[ 0.43514788  2.451884    0.9389782  ... -0.5129851   0.25777566
  2.1328657 ]"
556,It synchronizes perfectly,It synchronized perfectly,[0.88495374 1.8604954  1.7817276  ... 1.0106701  0.6922331  0.8747915 ],"[ 0.3056309   2.6501982   1.4286658  ... -0.20300536  2.0695238
  0.9978862 ]"
557,He desynchronizes unexpectedly,He desynchronized unexpectedly,[0.6966039  3.535297   1.5663617  ... 0.4458429  1.082839   0.34856564],[ 0.3877648  2.9970765  0.5219003 ... -1.9111218  1.8823099  2.1682856]
558,She coordinates precisely,She coordinated precisely,"[ 0.7271511   2.5486677   1.5369316  ...  0.37403247 -0.05847104
  2.2195628 ]",[0.7141404  2.6704848  1.2089754  ... 0.11306051 1.144663   2.421111  ]
559,They miscoordinate frequently,They miscoordinated frequently,"[ 0.3392257   4.2485394   0.52343297 ...  0.274133   -0.01093775
  2.4178257 ]","[ 0.7393197   3.2135296   0.36282587 ... -0.5985503   1.4780388
  2.3969026 ]"
560,We integrate seamlessly,We integrated seamlessly,[ 0.9081655  4.897984   1.0311108 ...  0.1977634 -0.6797773  1.4894218],"[ 1.2277856   2.6653893   1.4115043  ... -1.0215526  -0.21940358
  1.6830989 ]"
561,I segregate deliberately,I segregated deliberately,"[ 0.7212315   0.37511688  3.8704581  ... -0.33965322  0.32929516
  2.0781846 ]","[-0.64207715  0.40199485  2.157173   ... -0.8221483   2.33476
  2.2031777 ]"
562,You differentiate clearly,You differentiated clearly,"[-0.4636306   3.6922789  -0.2523943  ... -1.4001182   0.07128898
  3.0671246 ]","[-0.549881    2.5058029   0.23114057 ... -1.5027415   0.38309583
  2.910083  ]"
563,It merges effortlessly,It merged effortlessly,"[ 0.6826369   1.768493    0.97043705 ... -1.0790579   0.6145925
  1.971608  ]",[ 0.9792264  1.6148707  1.9113783 ... -1.6066351  1.5507628  1.9229118]
564,He separates decisively,He separated decisively,"[ 2.3619647   3.1665075   1.0926757  ... -0.81561214  0.13761497
  1.1483718 ]","[ 1.684414    3.9662013   1.037353   ... -1.1674995   1.1847496
  0.59293014]"
565,The sun shines brightly,The sun shone brightly,"[ 0.16115338  3.8320854   1.0735914  ...  0.46910068 -4.853455
  3.1588383 ]","[-0.22080174  2.6801894   0.8553777  ... -0.11146369 -4.357637
  3.1376538 ]"
566,The moon glows softly,The moon glowed softly,"[ 2.2077768   0.49929237  0.69083685 ... -2.0941577  -4.2354207
  3.1575894 ]","[ 1.9576902   0.7522729   0.04990078 ... -2.5187893  -3.7149022
  3.5790088 ]"
567,The stars twinkle merrily,The stars twinkled merrily,"[ 1.3990511  -1.547427   -2.0099232  ... -1.5865872  -3.075072
  0.26007098]",[ 1.8778105 -2.195454  -1.8269628 ... -1.3403606 -2.7108035 -0.2524861]
568,The clouds float lazily,The clouds floated lazily,"[ 4.317185   -2.2008672  -2.6536143  ... -0.23805003 -2.952186
  1.3246715 ]","[ 3.9269836  -2.2075162  -2.7206821  ... -0.03169154 -2.6259065
  1.019681  ]"
569,The wind blows gently,The wind blew gently,"[ 4.33006     2.2705002  -1.0702335  ...  0.42717266 -1.654215
  0.3415689 ]",[ 3.5057611  2.3756647 -2.2025244 ...  0.7537583 -1.3027103  0.6834412]
570,The rain falls steadily,The rain fell steadily,"[ 2.219575    2.0202153   0.55452716 ... -1.0980892  -3.6138382
  1.8017389 ]","[ 1.7219872   1.3725852   0.10951734 ... -1.0661134  -3.9465778
  1.7602665 ]"
571,The snow drifts softly,The snow drifted softly,[ 2.8267179 -2.1633964 -2.0345879 ... -1.1356465 -1.1702955  1.5075318],"[ 3.1938498  -1.7273166  -3.3153234  ... -1.9934242  -0.7488116
  0.49515176]"
572,The ice melts slowly,The ice melted slowly,"[ 3.0265255   0.09859228  3.09656    ... -2.2279878  -3.076513
  2.06075   ]",[ 2.7938492  1.1114703  1.4626031 ... -2.1996527 -1.8006297  1.5937254]
573,The river flows swiftly,The river flowed swiftly,"[ 2.570531    1.284091    0.5144311  ... -0.95820963 -3.2310276
  1.024584  ]",[ 1.8077347  1.582355   0.3225804 ... -1.0583344 -3.126503   1.0492904]
574,The ocean waves crash loudly,The ocean waves crashed loudly,"[ 1.3598909   3.0612452  -0.88338745 ...  1.8416828  -2.8581984
  2.4863498 ]",[ 1.6479765  2.8882823 -1.6490015 ...  2.0901043 -2.3498814  2.5778694]
575,The mountains stand tall,The mountains stood tall,"[ 0.9078321   1.0024015   0.12589946 ... -0.3875067  -2.5321383
  1.3167056 ]","[ 0.23942867  0.4940157   0.23646623 ... -0.44329458 -1.918566
  1.9097111 ]"
576,The trees sway gently,The trees swayed gently,"[-0.37395626 -1.2017213  -2.972856   ... -1.35606    -2.263428
  2.9761472 ]","[-0.65069705 -1.0061543  -3.1909919  ... -0.5544585  -1.8013672
  2.5298228 ]"
577,The flowers bloom profusely,The flowers bloomed profusely,"[ 2.8948448  -0.6303758  -1.2256953  ... -0.42415896 -4.8111167
  1.7255553 ]",[ 2.2363746 -0.2435223 -1.0640701 ... -0.5439903 -4.184363   1.4103115]
578,The grass grows green,The grass grew green,[ 2.2877917  1.2744343  2.72849   ... -1.3258865 -5.5791016  4.4237647],[ 1.950079   1.2359852  2.1736343 ... -1.7609551 -5.1791897  4.1009645]
579,The birds sing sweetly,The birds sang sweetly,"[ 0.7871946   1.6985375  -1.1488392  ... -3.2969189  -2.1356647
 -0.19184062]","[ 0.8144132   1.5718123  -1.3700415  ... -3.5620522  -1.8338684
 -0.01834858]"
580,The bees buzz around,The bees buzzed around,"[ 0.88753855  0.22367908 -0.44178528 ... -1.5071021  -1.8851715
  0.50981814]","[ 0.565093   -0.01596386 -1.170852   ... -1.48916    -1.610822
 -0.05946521]"
581,The butterflies dance gracefully,The butterflies danced gracefully,"[ 2.059555   -1.4752839  -2.6372857  ... -0.90599346 -2.7380786
  1.74736   ]",[ 2.1030817 -1.6095791 -2.962296  ... -1.2595217 -2.1476467  1.8118683]
582,The ants march diligently,The ants marched diligently,"[ 5.762299   -1.617815    0.17764495 ... -2.1951256  -1.1791629
  1.1662425 ]","[ 5.4411716  -0.5580451   0.06541769 ... -2.4045813  -0.46085912
  0.972586  ]"
583,The spiders spin webs carefully,The spiders spun webs carefully,"[ 2.2195456   0.92742026 -0.16380313 ...  0.27973306 -4.086183
  3.2002525 ]","[ 2.7328887   0.4416809  -0.09701393 ... -0.18147773 -2.8410923
  2.5159078 ]"
584,The frogs leap energetically,The frogs leaped energetically,"[-0.1571828  -0.01283726 -0.752908   ... -0.49378586 -3.8865836
  5.1754265 ]",[-1.1798202  1.2761637 -0.7727047 ... -1.3990967 -4.105428   3.7762983]
585,The snakes slither silently,The snakes slithered silently,"[ 1.6003125  -0.2213376   0.19987628 ... -1.0958726  -1.3922459
  3.5319011 ]","[ 1.2643541  -0.26960644  0.63926965 ... -1.1185503  -1.0290464
  3.2091541 ]"
586,The lizards bask in the sun,The lizards basked in the sun,"[-2.62224    -0.15043174  0.79848623 ...  0.35327074 -1.4100007
  4.503251  ]","[-2.827818    0.34201047  1.1423283  ... -0.04718829 -1.7636403
  4.472849  ]"
587,The turtles crawl slowly,The turtles crawled slowly,[ 3.6862197 -1.4370244  1.4542878 ... -0.796933  -1.8056298  2.9456382],[ 3.211364  -1.2194697  1.2213417 ... -1.1881077 -0.9319103  2.6258564]
588,The fish swim gracefully,The fish swam gracefully,"[ 0.07030189  1.2769221  -0.3867684  ... -1.1730068  -3.061378
  3.1318984 ]","[-0.04730711  0.7299716   0.6398721  ... -1.1588594  -2.4325821
  2.4096344 ]"
589,The whales migrate annually,The whales migrated annually,"[ 0.21727684  0.03290504  1.8381004  ... -2.763444   -1.0744478
 -0.33659256]","[ 0.52397615 -0.25898594  1.9734821  ... -3.0238805   0.08279885
  0.26511198]"
590,The dolphins play joyfully,The dolphins played joyfully,"[ 0.6416061   1.6272042   0.21174756 ... -2.901945   -2.1360564
  2.3857186 ]","[ 0.5379933   1.759239   -0.14889428 ... -4.062139   -1.3533683
  1.4653978 ]"
591,The sharks hunt fiercely,The sharks hunted fiercely,"[-0.34810317  0.9606153   2.0511935  ... -2.0662868  -3.4007654
  2.8302796 ]",[-0.1479125  1.1797539  1.7340616 ... -1.9983072 -2.382881   2.1523836]
592,The jellyfish drift passively,The jellyfish drifted passively,"[ 2.4875834  -1.0101247   2.2031672  ...  0.32313383 -2.462721
  0.6007641 ]","[ 1.3951126  -0.7689793   2.254866   ...  0.31604692 -2.187264
  0.49401757]"
593,The crabs scuttle quickly,The crabs scuttled quickly,"[ 1.6940732   1.3789643   1.2799867  ... -0.61042076 -0.13407935
  2.276819  ]","[ 1.3228836   1.4081116   1.4160309  ... -0.62444633  0.48046875
  1.5844612 ]"
594,The seagulls soar overhead,The seagulls soared overhead,"[ 1.8278027   1.7290373   1.6085534  ... -0.52253884 -2.5721738
  1.5879564 ]","[ 1.8597995   1.1764148   1.5313615  ... -0.80717564 -1.9027072
  1.4379381 ]"
595,The pelicans dive skillfully,The pelicans dived skillfully,[-0.5115044  1.88635   -1.4339596 ... -2.1053798 -1.5217286  2.4884589],[-1.463848   1.6046832 -1.3657233 ... -1.7821516 -1.2096566  2.9067233]
596,The penguins waddle clumsily,The penguins waddled clumsily,"[ 0.22450463 -2.3771534   0.27748737 ... -0.94291323  0.27753264
  1.3609635 ]","[-0.11496389 -1.8618996  -0.34031543 ... -1.2242184   0.7299539
  1.5927342 ]"
597,The seals swim effortlessly,The seals swam effortlessly,"[ 1.2292058   1.4122297  -0.95310426 ... -2.6410294  -1.4629711
  1.9498363 ]","[ 0.50626284  0.844381    0.0451139  ... -2.0029716  -0.67627925
  0.89225185]"
598,The walruses haul out onto land,The walruses hauled out onto land,"[-0.76326036 -2.1123657   1.1157789  ...  0.34230623  2.3779864
  0.7970753 ]","[-1.1275033  -1.3250607   0.56619304 ...  0.4307475   2.903629
  1.3972402 ]"
599,The polar bears hunt seals,The polar bears hunted seals,"[ 0.62862813  2.470327    0.58531296 ... -2.1620414  -1.4594427
  1.613245  ]","[ 0.44197828  2.6821902   0.17413025 ... -2.7429225  -0.61584055
  1.2290869 ]"
600,The arctic foxes hunt lemmings,The arctic foxes hunted lemmings,"[ 1.7704275   0.65633893  0.84916794 ... -2.5022044  -0.9671741
  0.87435484]","[ 1.4316579   0.98185444  0.73553646 ... -2.5107543  -0.16940835
  0.6983263 ]"
601,The snowy owls hunt at night,The snowy owls hunted at night,"[-0.8433663  -1.4422141   0.0443644  ... -3.3576515  -0.40212032
  0.29429725]","[-1.0501727  -0.8558696  -0.43052787 ... -3.589011    0.13409723
  0.18234959]"
602,The musk oxen graze peacefully,The musk oxen grazed peacefully,"[-1.8115079   0.33175346  2.1426313  ... -1.7721312  -1.6511148
  3.3593225 ]","[-1.3688661  -0.57211316  1.8709095  ... -2.5852125  -1.5594102
  3.1787665 ]"
603,The caribou migrate across the tundra,The caribou migrated across the tundra,"[-0.0326359   3.6465518   0.31419462 ... -2.804195   -0.4869211
  1.589541  ]","[-0.2432015   3.1855612   0.19685228 ... -2.5323052   0.45192024
  2.2222934 ]"
604,The children laugh heartily,The children laughed heartily,"[-0.25056678  2.280554   -0.7407906  ... -1.7350023  -2.4508395
  2.7777243 ]","[-0.04094953  2.121965   -0.97953826 ... -1.9335884  -1.2812237
  2.7620654 ]"
605,The dogs bark loudly,The dogs barked loudly,"[-0.8043969   3.3663778  -0.68564737 ... -1.3343546  -0.53930646
  0.48912328]",[-0.9074246  2.9260113 -1.084403  ... -2.5518486 -1.0833795 -0.7722983]
606,The cats purr softly,The cats purred softly,[ 1.4187344  1.6530781  1.7147224 ... -1.4897249 -2.2270749  0.9672739],"[ 2.4309192   0.51329887  0.8379711  ... -0.36030024 -1.5556086
  2.9113154 ]"
607,The horses gallop freely,The horses galloped freely,[ 1.5071796 -1.2150265 -3.4977174 ... -0.9379579 -1.3011194  1.9126123],"[ 1.2326496  -1.1035908  -2.9636192  ... -1.4213796  -0.29409727
  1.1133496 ]"
608,The cows graze contentedly,The cows grazed contentedly,"[-0.28997707 -0.4816469   1.8029566  ... -1.2692002  -1.2082301
  3.8182383 ]","[ 0.58034873 -1.2073432   1.3737949  ... -2.224989   -0.96407074
  3.667902  ]"
609,The sheep graze peacefully,The sheep grazed peacefully,"[ 0.7571572   0.03891764  2.8905299  ... -0.48683763 -1.1293997
  3.581129  ]",[ 1.6520061 -1.2219465  2.4262652 ... -1.2638571 -1.0988944  3.5186272]
610,The pigs root happily,The pigs rooted happily,"[-0.07498878  2.2380185   1.440495   ...  0.3957248   0.5707413
  2.2542653 ]","[-0.012766    0.99292153  1.6456223  ... -0.29862595  1.5178455
  2.4299426 ]"
611,The goats climb steadily,The goats climbed steadily,"[ 3.4244056e+00  2.3069590e-02  2.7164419e+00 ... -9.0035254e-01
  1.1786819e-03  1.5412567e+00]","[ 3.2218852   0.10429949  2.6312292  ... -1.3214989   0.96737516
  1.3641264 ]"
612,The chickens peck busily,The chickens pecked busily,"[ 1.0619242  -0.42810667  1.6379633  ... -1.0888214  -1.0341452
  1.1251632 ]","[ 0.6888328   0.02261591  1.191125   ... -1.03237    -0.6866788
  0.65952003]"
613,The ducks swim placidly,The ducks swam placidly,[ 1.8258392 -1.89665   -3.5287554 ... -4.495096  -2.644293   2.0364032],[ 1.2402264 -1.5449086 -2.8299193 ... -4.141749  -1.9196463  1.8155941]
614,The geese fly in formation,The geese flew in formation,"[-0.02331442 -0.7395728  -0.18218033 ... -0.9063104  -2.0886428
  1.0810059 ]","[-0.7065788  -0.28098598  0.5284487  ... -1.5035094  -1.7076392
  1.574262  ]"
615,The swans glide elegantly,The swans glided elegantly,"[ 1.9067827  -0.41817936 -1.4987718  ... -1.6951023  -2.2446659
  1.849234  ]","[ 1.9190732  -0.06704549 -1.4139812  ... -1.8895357  -1.3593941
  2.4672434 ]"
616,The eagles soar majestically,The eagles soared majestically,"[ 1.3249359   1.4020636  -0.62846476 ... -3.0611115  -3.2788587
  3.132406  ]","[ 1.1988243   0.87409174 -0.19829135 ... -3.4193447  -2.534632
  3.2071214 ]"
617,The hawks hunt skillfully,The hawks hunted skillfully,[ 1.5775498  1.0379523  0.3989471 ... -2.5114982 -1.0176207  2.865017 ],"[ 1.6851488   1.1395125   0.19372173 ... -3.3801413  -0.30771318
  2.3699555 ]"
618,The owls observe intently,The owls observed intently,"[ 0.20951939 -0.7267306   2.4307282  ... -0.98236746 -1.5407066
  0.44227755]","[ 0.39637032 -1.5357499   2.5075428  ... -1.8387551  -0.14698566
  0.11639198]"
619,The ravens caw loudly,The ravens cawed loudly,"[-0.61366516  0.5663756  -0.23184521 ... -2.223646   -0.7099406
  2.5317476 ]","[-1.1765499   0.38585305 -0.9650138  ... -1.8305972  -0.74321973
  2.2267957 ]"
620,The sparrows chirp merrily,The sparrows chirped merrily,"[ 1.8866178   0.21063665  0.57757825 ... -0.6154034  -2.2015517
  0.6836933 ]","[ 1.1277952   0.36141914  0.1497616  ... -0.8319938  -1.7305813
  1.0380836 ]"
621,The robins build nests diligently,The robins built nests diligently,"[ 3.6426725   0.54345316  0.16966312 ... -2.4813788  -2.3746345
 -0.3443959 ]","[ 3.1141834  -0.88306826  0.24296717 ... -2.5093868  -1.6549997
 -0.07343703]"
622,The bluebirds sing sweetly,The bluebirds sang sweetly,"[ 0.8071714   1.1680835  -0.55544215 ... -1.5891862  -3.6433163
 -1.1663014 ]","[ 0.6822637   0.47050712 -0.6676304  ... -1.7267174  -3.4988348
 -0.4891452 ]"
623,The cardinals flash brilliantly,The cardinals flashed brilliantly,"[-0.3386302   1.6473109   0.5544735  ... -0.52451736 -1.4952848
  3.1120477 ]","[-0.54180783  1.8510567   0.3328149  ... -0.9608347  -1.2724663
  2.6114376 ]"
624,The woodpeckers peck rhythmically,The woodpeckers pecked rhythmically,"[ 0.4608432  -1.0946832  -0.20415547 ... -0.02016919  1.6500078
 -0.00990876]","[ 0.23580055 -1.0932167  -0.77014464 ... -0.12900752  1.4452448
 -0.42673817]"
625,The squirrels bury nuts cleverly,The squirrels buried nuts cleverly,"[ 0.16263759  1.3596573   1.1099576  ... -3.0701563  -0.54627144
  1.4290456 ]","[ 0.7562279   0.60048324  0.502964   ... -3.201576    0.11536886
  0.9687004 ]"
626,The rabbits hop quickly,The rabbits hopped quickly,"[ 3.1057656   1.09436     0.05719164 ... -2.296708   -0.88708735
  3.9052022 ]","[ 3.1791387   0.8635373  -0.25424355 ... -1.671746   -0.1538929
  2.7042427 ]"
627,The deer graze peacefully,The deer grazed peacefully,"[ 0.90427864 -1.315887    0.7897022  ... -1.5914961  -1.0607128
  2.984517  ]","[ 1.8399471  -2.7879977   0.44363213 ... -2.69074    -0.70524514
  3.0470066 ]"
628,The foxes hunt cunningly,The foxes hunted cunningly,[ 1.3448477  0.750166  -0.926984  ... -3.1842983 -2.5179694  2.8969917],"[ 1.5108991   0.89822453 -1.3667461  ... -3.7049818  -1.5040108
  2.1939318 ]"
629,The wolves howl mournfully,The wolves howled mournfully,"[ 0.05868177  0.62984127 -1.4230428  ... -2.277313   -0.21228261
  1.3762398 ]","[-0.27405143  0.73831147 -1.7033066  ... -2.3042324   0.08057365
  1.3777384 ]"
